203,JM3KE4DY4F0441471,2019-09-09,2019-05-22,1,4,2019-09-13,460,2019-09-09
210,19VDE1F3XEE414842,2019-11-01,2019-10-28,7,2,2019-11-15,1200,NULL
210,JTHFF2C26F135BX45,2019-05-01,2019-04-15,7,1,2019-05-08,600,2019-05-08
210,JTHFF2C26F135BX45,2019-11-01,2019-10-28,7,2,2019-11-15,1200,NULL
210,WAUTFAFH0E0010613,2019-11-01,2019-10-28,7,2,2019-11-15,1200,NULL
210,WBA3A9G51ENN73366,2019-11-01,2019-10-28,7,2,2019-11-15,1200,NULL
210,WBA3B9C59EP458859,2019-11-01,2019-10-28,7,2,2019-11-15,1200,NULL
210,WDCGG0EB0EG188709,2019-11-01,2019-10-28,7,2,2019-11-15,1200,NULL
212,19VDE1F3XEE414842,2019-06-10,2019-04-15,7,3,2019-07-01,1800,2019-06-10
216,1N6BF0KM0EN101134,2019-08-02,2019-03-15,7,4,2019-08-30,2740,2019-08-02
216,1N6BF0KM0EN101134,2019-08-30,2019-03-15,1,2,2019-09-01,230,2019-08-02
221,19VDE1F3XEE414842,2019-07-01,2019-06-12,7,1,2019-07-08,600,2019-07-01
221,19VDE1F3XEE414842,2019-07-09,2019-06-12,1,2,2019-07-11,200,2019-07-01
221,19VDE1F3XEE414842,2020-01-01,2019-12-15,7,4,2020-01-29,2400,NULL
221,JTHFF2C26F135BX45,2020-01-01,2019-12-15,7,4,2020-01-29,2400,NULL
221,WAUTFAFH0E0010613,2019-07-01,2019-06-12,7,1,2019-07-08,600,2019-07-01
221,WAUTFAFH0E0010613,2019-07-09,2019-06-12,1,2,2019-07-11,200,2019-07-01
221,WAUTFAFH0E0010613,2020-01-01,2019-12-15,7,4,2020-01-29,2400,NULL
221,WBA3A9G51ENN73366,2020-01-01,2019-12-15,7,4,2020-01-29,2400,NULL
221,WBA3B9C59EP458859,2020-01-01,2019-12-15,7,4,2020-01-29,2400,NULL
221,WDCGG0EB0EG188709,2020-01-01,2019-12-15,7,4,2020-01-29,2400,NULL
229,19VDE1F3XEE414842,2019-05-06,2019-04-12,1,4,2019-05-10,400,2019-05-06
229,WAUTFAFH0E0010613,2019-05-06,2019-04-12,1,4,2019-05-10,400,2019-05-06
